x,y,senti,text,topic,created_at
15,0,0.4490199270553409,"RT @Ryda_N: Also, this a weird ass way to compliment a guy on his good looks😂 https://t.co/vyJUn8slAw",travel,"from @WebMD"""
16,0,0.5025783541480671,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:42:20 +0000 2017
17,0,0.26373456758425906,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:42:36 +0000 2017
18,0,0.3402286860909921,When you Google Zika after you get a bug bite on an island.,research,Wed May 03 23:42:41 +0000 2017
19,0,0.6720193656872944,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:42:45 +0000 2017
20,0,0.8247037701626199,Is this you saying mhle? 😂 https://t.co/uBNpGe9BXS,research,Wed May 03 23:42:54 +0000 2017
21,0,0.5403407577822376,RT @Intrexon: Money that helps states with #Zika tracking and education may not be available this summer: https://t.co/QejH9B6PPx (via @khn…,research,Wed May 03 23:43:01 +0000 2017
22,0,0.9074241457290527,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:43:04 +0000 2017
23,0,0.5533346806436288,Cheap Test Might Pinpoint Where Zika Mosquitoes Lurk #Pharmaceutical https://t.co/ZFpj0JKhUx,cost,Wed May 03 23:43:12 +0000 2017
24,0,0.4082579005313879,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:43:18 +0000 2017
25,0,0.3954349453788676,"RT @leonhardtmindy: ABORTION nullifies lifesaving transplants
Zika babies likely CREATED for compassion organ donation for elite,
since bab…",cost,Wed May 03 23:43:33 +0000 2017
26,0,0.8818793798009361,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:43:46 +0000 2017
27,0,0.23101759524388965,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Zika babies likely CREATED for compassion organ donation for elite
28,0,0.3915246072993851,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,"since bab…"""
29,0,0.6724891450257396,There might be a movie in there somewhere James... https://t.co/2v2g2qJmBP,travel,Wed May 03 23:43:48 +0000 2017
30,0,0.4002932811280404,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:43:49 +0000 2017
0,1,0.3338950492091216,"@FoxNews @JonahNRO JIMMY KIMMEL IS BULLSHIT ASSHOLE, NAME 1 BABY THAT DIED BECUZ REFUSED TREATMENT???  WE TREAT ILL… https://t.co/ItsavLC1Vw",travel,Wed May 03 23:44:31 +0000 2017
1,1,0.4194542890981786,Excellent video - #CDC did a nice job - #ZapZika https://t.co/v8ljZazdFa,Infection source,Wed May 03 23:44:51 +0000 2017
2,1,0.8268376527680604,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/LCQyxqIKrF,Infection source,Wed May 03 23:44:54 +0000 2017
3,1,0.13880052980957647,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:44:59 +0000 2017
4,1,0.37751250803092007,RT @Intrexon: Money that helps states with #Zika tracking and education may not be available this summer: https://t.co/QejH9B6PPx (via @khn…,research,Wed May 03 23:45:27 +0000 2017
5,1,0.40392665750431533,RT @HeidiMurkoff: One more time: Zika is another reminder why affordable/free contraception/care for all moms&amp;babies is essential #zapzika…,cost,Wed May 03 23:45:39 +0000 2017
6,1,0.37854739275807725,"RT @XHNews: New test easily, rapidly detects #Zika at low cost: study https://t.co/dKymWl9L2b https://t.co/t9f3OhTclG",travel,Wed May 03 23:45:42 +0000 2017
7,1,0.4680755449292532,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:45:45 +0000 2017
8,1,0.2902761145645809,Brazil's Zika-related abortion debate sparks backlash #Dani Alves https://t.co/KDmpJ6fI6l https://t.co/IdlgQ0aKhS,social media,Wed May 03 23:45:46 +0000 2017
9,1,0.4371810657413596,@Ice_Monee They spreading zika,research,Wed May 03 23:46:00 +0000 2017
10,1,0.4599281349798553,🤔Who comes up with these bright💡Ideas? https://t.co/1BFUKqh15m,children,Wed May 03 23:46:00 +0000 2017
11,1,0.3504582893013951,"😂 RT @Ryda_N: Also, this a weird ass way to compliment a guy on his good looks😂 https://t.co/uBNpGe9BXS",travel,Wed May 03 23:46:00 +0000 2017
12,1,0.466817758724307,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:46:02 +0000 2017
13,1,0.3336145984895913,@MotherToBaby This is a really cool info graphic - #zika #publichealth,travel,Wed May 03 23:46:21 +0000 2017
14,1,0.0004972779492858903,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:46:41 +0000 2017
15,1,0.027732131847440833,"#Tech #Science https://t.co/rvjUb04GRh Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/89YI9Yh2aq",research,Wed May 03 23:46:55 +0000 2017
16,1,0.7435301364367722,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:47:16 +0000 2017
17,1,0.7534637296555909,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus - Fox News https://t.co/AWyD8446eb,Infection source,Wed May 03 23:47:24 +0000 2017
18,1,0.9722138289266007,RT @TheNewbornPrj: Is insect repellent safe for pregnant women? #ZAPzika https://t.co/y2yqh2L0RF,social media,Wed May 03 23:47:26 +0000 2017
19,1,0.4943268196764836,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:47:27 +0000 2017
20,1,0.7954040363945973,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/S3q2dloWaB via the @FoxNews Android app,Infection source,Wed May 03 23:47:33 +0000 2017
21,1,0.226774872821342,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:47:35 +0000 2017
22,1,0.6909070732554553,"Thankfully, mosquitoes don't like me! https://t.co/haV08MoOep",Infection source,Wed May 03 23:47:36 +0000 2017
23,1,0.49281237742508155,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/XCHETMBB8F",research,Wed May 03 23:47:59 +0000 2017
24,1,0.5742725304843942,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:48:07 +0000 2017
25,1,0.5817973687889649,Scary stuff. https://t.co/X0gsuDzvT9,travel,Wed May 03 23:48:09 +0000 2017
26,1,0.3545755390946914,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/O5ObB1WKMU",research,Wed May 03 23:48:25 +0000 2017
27,1,0.20609818877112596,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/rNP4jg7s3r",research,Wed May 03 23:48:26 +0000 2017
28,1,0.7724497657297225,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/z3zIuXEYSp,Infection source,Wed May 03 23:49:14 +0000 2017
29,1,0.9710955396688857,[Research Articles] Rapid and specific detection of Asian- and African-lineage Zika viruses https://t.co/y7O00EQyDL,research,Wed May 03 23:49:19 +0000 2017
30,1,0.8477001329374417,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/BBEMEfHbrm,Infection source,Wed May 03 23:49:27 +0000 2017
0,2,0.8707161817814307,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:49:30 +0000 2017
1,2,0.08141240521794002,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/rQGPawoakd,Infection source,Wed May 03 23:49:39 +0000 2017
2,2,0.889719163715296,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/44tnI6gqSu,Infection source,Wed May 03 23:50:08 +0000 2017
3,2,0.9399412941115188,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:08 +0000 2017
4,2,0.835476522030955,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/hcblWVFdyW,Infection source,Wed May 03 23:50:09 +0000 2017
5,2,0.7198310133650515,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/5JLeHvQpyO",research,Wed May 03 23:50:09 +0000 2017
6,2,0.981873975999798,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/Ty9VWEK1ax",research,Wed May 03 23:50:10 +0000 2017
7,2,0.18524011292411424,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/Q7DyWjj9o4,Infection source,Wed May 03 23:50:10 +0000 2017
8,2,0.1921097620515122,Fox - Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/LUd9CT4r9x,Infection source,Wed May 03 23:50:10 +0000 2017
9,2,0.635871217194906,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/WpXGFpdUx2 https://t.co/XeBP84pXYO,Infection source,Wed May 03 23:50:10 +0000 2017
10,2,0.1535075904386466,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/EyBtFqhIS2,Infection source,Wed May 03 23:50:12 +0000 2017
11,2,0.3124207222307326,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/IyyT8Hif4V https://t.co/kesj5NsJ53,Infection source,Wed May 03 23:50:13 +0000 2017
12,2,0.23304861839851554,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/97ob8eUffF Science daily News",research,Wed May 03 23:50:14 +0000 2017
13,2,0.8124321054159662,RT @Intrexon: Money that helps states with #Zika tracking and education may not be available this summer: https://t.co/QejH9B6PPx (via @khn…,research,Wed May 03 23:50:16 +0000 2017
14,2,0.20836914479981883,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/gMmYSarJMq #Health &amp; Medicine News -- ScienceDaily",research,Wed May 03 23:50:16 +0000 2017
15,2,0.7072752788155221,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/psQhYT188V #medicine #health",research,Wed May 03 23:50:17 +0000 2017
16,2,0.6139313136555616,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:19 +0000 2017
17,2,0.7897113156995523,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/MJ47PRLPcZ,Infection source,Wed May 03 23:50:21 +0000 2017
18,2,0.4365084548467153,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:27 +0000 2017
19,2,0.7017088131009239,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
20,2,0.36452966454932567,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
21,2,0.4367856648621261,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
22,2,0.39381710590115626,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
23,2,0.1448768422786596,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
24,2,0.6673182840883417,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
25,2,0.4610675579249345,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
26,2,0.6507243905200742,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
27,2,0.5747440655279374,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/aX48Sht7yG,Infection source,Wed May 03 23:50:35 +0000 2017
28,2,0.9200370700957801,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:35 +0000 2017
29,2,0.04842483681058829,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/VVrKUdayzl https://t.co/G1mZVay5Fb,Infection source,Wed May 03 23:50:35 +0000 2017
30,2,0.9689498417025965,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/uIEE6dIpLQ https://t.co/9cr3sDinzt,Infection source,Wed May 03 23:50:35 +0000 2017
0,3,0.49484244863905036,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/ErBDhPKNMZ https://t.co/57EZwwWQaX,Infection source,Wed May 03 23:50:36 +0000 2017
1,3,0.40253557520248706,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/HgTIYQpw1t https://t.co/KUPLfZv4fy,Infection source,Wed May 03 23:50:37 +0000 2017
2,3,0.41344946613102984,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/bfqtuodPYi https://t.co/eBvMGyfrvt,Infection source,Wed May 03 23:50:37 +0000 2017
3,3,0.9248083640678181,#HonestyHour Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/j0pAExEOua… https://t.co/jgLUylnJa9,Infection source,Wed May 03 23:50:37 +0000 2017
4,3,0.22008634514167602,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/9Ms13Eu70J https://t.co/YSx24OXw3t,Infection source,Wed May 03 23:50:38 +0000 2017
5,3,0.12364340148346131,#USA Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/uVBcE6ig6D #agency https://t.co/I5sqvrzPZ7,Infection source,Wed May 03 23:50:38 +0000 2017
6,3,0.3058884534660319,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/seq4H4DlME https://t.co/1KOuVDqI10,Infection source,Wed May 03 23:50:38 +0000 2017
7,3,0.15981659811737503,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/ORnBnDw6YA https://t.co/TNyzgVdg0b,Infection source,Wed May 03 23:50:38 +0000 2017
8,3,0.009954940730271478,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/rTLhWlDnTS https://t.co/I3IkHycYy6,Infection source,Wed May 03 23:50:38 +0000 2017
9,3,0.4077417382750087,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/EtqT129HxB https://t.co/FKvy3ut5S1,Infection source,Wed May 03 23:50:38 +0000 2017
10,3,0.8861442292175845,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus,Infection source,Wed May 03 23:50:38 +0000 2017
11,3,0.29643257867763484,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/lBKngBN35h https://t.co/kkgHG1a7I9,Infection source,Wed May 03 23:50:38 +0000 2017
12,3,0.1576503464521002,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/k6k8ruPxCH https://t.co/OalPdQn1ZC,Infection source,Wed May 03 23:50:38 +0000 2017
13,3,0.9554342520150068,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/tNq8EtH937,Infection source,Wed May 03 23:50:39 +0000 2017
14,3,0.4901546652395701,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/641FkRSw26 https://t.co/RCMbeJtgnf,Infection source,Wed May 03 23:50:40 +0000 2017
15,3,0.9359460101547313,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/IIoCpqSaZJ https://t.co/TDBooYsP9S,Infection source,Wed May 03 23:50:40 +0000 2017
16,3,0.027792781049567505,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/zjmhyajMZa https://t.co/cEfuZKyxTv,Infection source,Wed May 03 23:50:40 +0000 2017
17,3,0.5604977149064112,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/ACxJhdwIjR,Infection source,Wed May 03 23:50:40 +0000 2017
18,3,0.2378584006666108,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/cK2zmjMEkz https://t.co/ex9F0neZFq,Infection source,Wed May 03 23:50:41 +0000 2017
19,3,0.8627296826288865,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/t4jfGOI3DZ https://t.co/iPw5vr5qNi,Infection source,Wed May 03 23:50:41 +0000 2017
20,3,0.8820092488866588,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/PVkXoIrWSW #FOXNEWS https://t.co/ip9UsETiew,Infection source,Wed May 03 23:50:41 +0000 2017
21,3,0.8133316884020115,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/zjmhyajMZa https://t.co/3NYwVs8feR,Infection source,Wed May 03 23:50:41 +0000 2017
22,3,0.580800045669992,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/pihlbX2yIB https://t.co/b1TgIX7L8G,Infection source,Wed May 03 23:50:41 +0000 2017
23,3,0.22722911062243023,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/qrHa4RMRyH https://t.co/7Jto3iEKV1,Infection source,Wed May 03 23:50:41 +0000 2017
24,3,0.11742943868838407,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/anl4ksc7L4 https://t.co/GCeJMV3hrc,Infection source,Wed May 03 23:50:41 +0000 2017
25,3,0.6651192860306876,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/MOc7tJ9y3K https://t.co/Ihixrb6olc,Infection source,Wed May 03 23:50:41 +0000 2017
26,3,0.6426433711797385,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/QvgnWXC078 https://t.co/Do9CPQ9sMD,Infection source,Wed May 03 23:50:41 +0000 2017
27,3,0.9696199060387602,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/KdW3bQVPDG https://t.co/nCGVbiJ0nQ,Infection source,Wed May 03 23:50:41 +0000 2017
28,3,0.19105694931665818,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/2fcyZVQjfM https://t.co/PRXKKp8Lyt,Infection source,Wed May 03 23:50:43 +0000 2017
29,3,0.7573017436858392,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/yVwX8Syrb7 https://t.co/N99FkCcm3c,Infection source,Wed May 03 23:50:43 +0000 2017
30,3,0.177265478031859,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/3OZ0jiGqCb,Infection source,Wed May 03 23:50:43 +0000 2017
0,4,0.02284971977383965,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:50:45 +0000 2017
1,4,0.836772564195827,Zika fight: Bacteria-laden mosquitoes unleashed in Florida t #lastest #news https://t.co/kbbLk5Qq0x https://t.co/m3CEUp7FBB,Infection source,Wed May 03 23:50:45 +0000 2017
2,4,0.7320602200994067,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/uhsrveICCR",research,Wed May 03 23:50:48 +0000 2017
3,4,0.3720884585449512,"Andrew Barnett's latest: Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/jIS3NWsY4E #exercise",research,Wed May 03 23:50:53 +0000 2017
4,4,0.9411895413746467,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/19JOl55SMg | #health #medicalresearch #sciencedaily",research,Wed May 03 23:51:06 +0000 2017
5,4,0.336887255691533,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:51:08 +0000 2017
6,4,0.7351764023622159,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/8VcHCDW4LQ via the @FoxNews Android app,Infection source,Wed May 03 23:51:09 +0000 2017
7,4,0.595919089456658,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/TAQkp70NiC",research,Wed May 03 23:51:11 +0000 2017
8,4,0.6383954395918209,I seen this movie one time where... https://t.co/rOVXepLDeO,others,Wed May 03 23:51:20 +0000 2017
9,4,0.12775438502153158,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:51:24 +0000 2017
10,4,0.06432632773597824,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:51:24 +0000 2017
11,4,0.5261637139093992,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:51:37 +0000 2017
12,4,0.23821874889510242,"#Tech ""Researchers advance low-cost, low-tech Zika virus surveillance tool"" https://t.co/Mxnscie8A2",research,Wed May 03 23:51:47 +0000 2017
13,4,0.014698197651301204,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/0WnND8OKeX",research,Wed May 03 23:52:03 +0000 2017
14,4,0.8751339920982035,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/wOlwfBme1m",research,Wed May 03 23:52:04 +0000 2017
15,4,0.24767170118455717,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/w8PWL6lXip #breakingnews #news,Infection source,Wed May 03 23:52:06 +0000 2017
16,4,0.21078688825825975,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/MfTJCajMNG #onmedic #science",research,Wed May 03 23:52:09 +0000 2017
17,4,0.5999305912249754,"RT @KushaalPatel: #Tech ""Researchers advance low-cost, low-tech Zika virus surveillance tool"" https://t.co/Mxnscie8A2",research,Wed May 03 23:52:10 +0000 2017
18,4,0.7437407473367702,[Research Articles] Rapid and specific detection of Asian- and African-lineage Zika viruses https://t.co/tU0mRQboD6,research,Wed May 03 23:52:10 +0000 2017
19,4,0.6380277199079046,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/8QH1leSip4 #mcgsci",research,Wed May 03 23:52:11 +0000 2017
20,4,0.31190202385868604,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:52:21 +0000 2017
21,4,0.02105060978112827,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/psQhYT188V #health #medicine",research,Wed May 03 23:52:35 +0000 2017
22,4,0.6955953002955854,"Researchers advance low-cost, low-tech Zika virus surveillance tool  https://t.co/PxbC6ftPNa #science #health",research,Wed May 03 23:52:41 +0000 2017
23,4,0.7768920186280139,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/LfF3pOrcDA #science #tech",research,Wed May 03 23:52:53 +0000 2017
24,4,0.9442311171787181,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/W8buDUnp3O https://t.co/9Ah0Db9B0P",research,Wed May 03 23:53:04 +0000 2017
25,4,0.7073532335396822,"From https://t.co/BsvJENAhX2 and more about Researchers advance low-cost, low-tech Zika virus surveillance tool",research,Wed May 03 23:53:09 +0000 2017
26,4,0.9238978631673098,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…,Infection source,Wed May 03 23:53:14 +0000 2017
27,4,0.20617435739732037,Yikes https://t.co/K4HVbdHOiL,Infection source,Wed May 03 23:53:16 +0000 2017
